"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Validate admin is able to delete all added persons: To validate admin is able to delete entire persons","","0","0","4","0","0"
"","To Validate Task Features of CRM: To validate user is able to delete all Tasks","","0","0","4","0","0"
"","To Validate Login Functionality: To Validate that we are able to add person in CRM","","2","0","4","0","0"
"","To Validate Task Features of CRM: To validate user is able to Add Task","","0","0","4","0","0"
